Borough  Neighborhood   Latitude  Longitude
Fort Lauderdale         33301  26.121114  -80.13187
Fort Lauderdale         33304  26.137693  -80.12646
Fort Lauderdale         33305  26.153728  -80.12606
Fort Lauderdale         33306  26.165212  -80.11379
Fort Lauderdale         33308  26.191111  -80.10846
Fort Lauderdale         33309  26.185461  -80.17218
Fort Lauderdale         33311  26.138830  -80.16865
Fort Lauderdale         33312  26.094665  -80.17987
Fort Lauderdale         33313  26.148613  -80.22446
Fort Lauderdale         33314  26.067966  -80.22016
Fort Lauderdale         33315  26.094385  -80.15422
Fort Lauderdale         33316  26.101114  -80.12931
Fort Lauderdale         33317  26.113664  -80.22376
Fort Lauderdale         33319  26.183628  -80.22122
Fort Lauderdale         33321  26.211122  -80.26310
Fort Lauderdale         33322  26.150863  -80.27284
Fort Lauderdale         33323  26.156854  -80.31408
Fort Lauderdale         33324  26.110631  -80.27469
Fort Lauderdale         33325  26.112924  -80.32097
Fort Lauderdale         33326  26.112366  -80.37697
Fort Lauderdale         33327  26.120134  -80.41441
Fort Lauderdale         33328  26.062016  -80.27202
Fort Lauderdale         33330  26.054790  -80.31581
Fort Lauderdale         33331  26.056111  -80.36373
Fort Lauderdale         33332  26.049367  -80.40885
Fort Lauderdale         33334  26.182161  -80.13341
Fort Lauderdale         33351  26.179495  -80.27183
